"KontoID","Konto","Naziv","RokPlacanja"
"3184","0","STALNA SREDSTVA I DUGOROCNI PLASMANI","0"
"4","01","NEMATERIJALNA SREDSTVA","0"
"3185","010","Kapitalizirana ulaganja u razvoj","0"
"5","0100","DugoroCna ulaganja u razvoj materijala, ureDaja i proizvoda","0"
"2906","0101","DugoroCna ulaganja u razvoj tehnologije (procesa) proizvodnje","0"
"2907","0102","DugoroCna ulaganja u razvoj trZiSta (marketing)","0"
"2908","0103","DugoroCna ulaganja u razvoj usluga","0"
"2909","0107","Ostala dugoroCna ulaganja u razvoj","0"
"2910","0108","Ispravka vrijednosti ulaganja u razvoj po osnovu amortizacije","0"
"2911","0109","Vrijednosno usklaDivanje ulaganja u razvoj","0"
"6","011","Koncesije, patenti, licence, zaStitni znakovi i druga prava","0"
"7","0110","Koncesije","0"
"8","0111","Patenti (vlastiti ili steCeni/otkupljeni)","0"
"9","0112","Licence","0"
"10","0113","Pravo na zaStitni znak, model ili uzorak","0"
"11","0114","FranSize","0"
"2912","0115","Industrijska znanja (know-how)","0"
"2913","0117","Ostala dugoroCna prava","0"
"2914","0118","Ispravka vrijednosti koncesija, patenta, licenci, zaStitnih znakova i dr. prava po osnovu amortizac.","0"
"12","0119","Vrijednosno usklaDivanje koncesija, patenta, licenci, zaStitnih znakova i drugih prava","0"
"13","012","Goodwill","0"
"14","0120","Goodwill steCen kupovinom pravnog lica koje se spaja sa pravnim licem kupca (sticanja)","0"
"15","0121","Goodwill steCen putem poslovne kombinacije spajanja dva i viSe pravnih lica u jedno","0"
"19","0129","Vrijednosno usklaDivanje","0"
"20","013","Ulaganja na tuDim stalnim sredstvima","0"
"21","0130","Ulaganja na unapreDenju tuDeg zemljiSta zakupljenog kroz operativni najam","0"
"22","0131","Ulaganja na adaptaciji tuDih graDevinskih objekata zakupljenih kroz operativni najam","0"
"23","0132","Ulaganja na tuDim postrojenjima zakupljenih kroz Operativni najam","0"
"2915","0133","Ulaganja na tuDoj opremi zakupljenoj kroz operativni najam","0"
"2916","0134","Efekti priznavanja po fer vrijednosti nekretnina, postrojenja i opreme zakupljene kroz oper. najam","0"
"2917","0137","Ostalna ulaganja na tuDim sredstvima","0"
"24","0138","Ispravka vrijednosti ulaganja u tuDe nekret., postr. i opremu zakup kroz oper. naj. po osnovu amort.","0"
"2918","0139","Vrijednosno usklaDivanje ulaganja u tuDe nekretnine, postrojenja i opremu zakupljene kroz oper.najam","0"
"25","014","Ostala nematerijalna sredstva","0"
"26","0140","RaCunarski programi - software (koji nisu dio hardware-a)","0"
"27","0141","Izdaci za komasacije i druga dugoroCna unapreDenja u poljoprivredi","0"
"28","0142","Izdaci za arondacije","0"
"29","0143","Izdaci za viSegodiSnji zakup zemljiSta, zasada, Suma, plantaZa","0"
"30","0144","Izdaci za viSegodiSnje pravo koriStenja priplodne i radne stoke","0"
"2919","0147","Ulaganja u ostala stalna nematerijalna sredstva","0"
"33","0148","Ispravka vrijednosti ostalih nematerijalnih sredstava po osnovu amortizacije","0"
"34","0149","Vrijednosno usklaDivanje ostalih nematerijalnih sredstava","0"
"35","015","Nematerijalna sredstva u pripremi","0"
"2920","0150","Kapitalizirana ulaganja u razvoj - ulaganja u toku","0"
"36","0151","Koncesije, pateni, licence, zaStitni znakovi i druga prava u pripremi","0"
"38","0153","Ulaganja na tuDim stalnim sredstvima - ulaganja u toku","0"
"39","0157","Ostala nematerijalna sredstva u pripremi","0"
"40","0159","vrijednosno usklaDivanje nematerijalnih sredstava u pripremi","0"
"41","017","Avansi za nematerijalna sredstva","0"
"2921","0170","Avansi za kapitalizirana ulaganja u razvoj","0"
"42","0171","Avansi za koncesije, patente, licence, zaStitne znakove i druga prava","0"
"44","0173","Avansi zaulaganje na tuDim stalnim sredstvima","0"
"45","0174","Avansi za ostala nematerijalna sredstva","0"
"46","0179","Vrijednosno usklaDivanje datih avansa za nematerijalna sredstva","0"
"67","02","NEKRETNINE, POSTROJENJA I OPREMA","0"
"68","020","ZemljiSta","0"
"69","0200","Poljoprivredno zemljiSte","0"
"70","0201","GraDevinsko zemljiSte","0"
"71","0202","Sumsko zemljiSte","0"
"72","0203","ZemljiSte za eksploataciju kamena, gline, Sljunka i pijeska","0"
"73","0204","ZemljiSte za eksploataciju rudnog bogatstva","0"
"74","0205","ZemljiSta pod dugogodiSnjim nasadima","0"
"75","0206","ZemljiSta pod prometnicama, dvoriStima, parkiraliStima i sl.","0"
"76","0207","PoboljSanja na zemljiStu (ulaganja u odvodnjavanja, prilaze i dr.)","0"
"77","0208","ZemljiSta za ostale namjene","0"
"78","0209","Vrijednosno usklaDivanje zemljiSta","0"
"79","021","GraDevinski objekti","0"
